codigo_ipress,anio,mes,_archivo,_registro,variable,anterior,actual,diferencia
00005395,2020,1,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,11674,CA_CAMAS,6.0,30.0,24.0
00005395,2025,2,data\raw\Capacidad\ConsultaA_2025_v22.csv,6003,CA_CAMAS,30.0,0.0,-30.0
00005395,2025,3,data\raw\Capacidad\ConsultaA_2025_v22.csv,16411,CA_CAMAS,0.0,31.0,31.0
00005395,2025,4,data\raw\Capacidad\ConsultaA_2025_v22.csv,25379,CA_CAMAS,31.0,0.0,-31.0
00005398,2026,6,data\raw\Capacidad\ConsultaA_2026_v13.csv,22425,CA_CAMAS,0.0,15.0,15.0
00005502,2020,1,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,11203,CA_CAMAS,6.0,17.0,11.0
00005502,2025,1,data\raw\Capacidad\ConsultaA_2025_v22.csv,19696,CA_CAMAS,17.0,0.0,-17.0
00005502,2025,11,data\raw\Capacidad\ConsultaA_2025_v22.csv,46388,CA_CAMAS,0.0,17.0,17.0
00005551,2025,1,data\raw\Capacidad\ConsultaA_2025_v22.csv,23265,CA_CAMAS,0.0,15.0,15.0
00005556,2026,6,data\raw\Capacidad\ConsultaA_2026_v13.csv,17423,CA_CAMAS,0.0,15.0,15.0
00005945,2023,1,data\raw\Capacidad\ConsultaA_Recursos_Salud_2023_v24.csv,101,CA_CAMAS,55.0,152.0,97.0
00005945,2023,9,data\raw\Capacidad\ConsultaA_Recursos_Salud_2023_v24.csv,25454,CA_CAMAS,55.0,152.0,97.0
00006000,2025,2,data\raw\Capacidad\ConsultaA_2025_v22.csv,22097,CA_CAMAS,16.0,122.0,106.0
00006164,2025,2,data\raw\Capacidad\ConsultaA_2025_v22.csv,57565,CA_CAMAS,4.0,14.0,10.0
00006209,2016,4,data\raw\Capacidad\ConsultaA_Recurso_Salud_2016_v1.csv,1101,CA_CAMAS,48.0,163.0,115.0
00006212,2026,4,data\raw\Capacidad\ConsultaA_2026_v13.csv,25198,CA_CAMAS,6.0,60.0,54.0
