variable,importancia
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA MEDICINA GENERAL,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION QUIRURGICA CIRUGIA DE TORAX Y CARDIOVASCULAR,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION QUIRURGICA CIRUGIA DE CABEZA Y CUELLO / MAXILO FACIAL,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION MEDICINA PSIQUIATRIA PISIQUIATRIA/ SALUD MENTAL Y ADICCIONES,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE PEDIATRIA PEDIATRIA OTORRINOLARINGOLOGIA PEDIATRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE PEDIATRIA PEDIATRIA ONCOLOGIA PEDIATRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE PEDIATRIA PEDIATRIA OFTALMOLOGIA PEDIATRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE PEDIATRIA PEDIATRIA NEUROLOGIA PEDIATRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE PEDIATRIA PEDIATRIA NEUMOLOGIA PEDIATRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE PEDIATRIA PEDIATRIA NEONATOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE PEDIATRIA PEDIATRIA NEFROLOGIA PEDIATRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE PEDIATRIA PEDIATRIA GINECOLOGIA PEDIATRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE PEDIATRIA PEDIATRIA GENERAL,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE PEDIATRIA PEDIATRIA GASTROENTEROLOGIA PEDIATRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE PEDIATRIA PEDIATRIA DERMATOLOGIA PEDIATRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE PEDIATRIA PEDIATRIA CARDIOLOGIA PEDIATRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA-NEUROLOGIA -NEUROLOGIA DE LA CONDUCTA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION-PEDIATRIA GENERAL-,0.0
categoricas__ubigeo_150112,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION QUIRURGICA TRAUMATOLOGIA Y ORTOPEDIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION QUIRURGICA OTORRINOLARINGOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION QUIRURGICA ONCOLOGIA QUIRURGICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION QUIRURGICA OBSTETRICIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION QUIRURGICA NEUROCIRUGIA,0.0
