variable,anio_prueba,importancia_f1_macro_media,importancia_f1_macro_std,f1_macro_sin_permutar,n_test,n_muestra,repeticiones,random_state,metodo,es_causal,conjunto
camas_disponibles_lag_2m,2022,0.000627917161289219,0.0005799155218302684,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
ingresos_lag_1m,2022,-0.0005944352208727318,0.0008445704193501041,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
ingresos_lag_2m,2022,-0.005078713672039936,0.0015968172343577137,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
egresos_lag_1m,2022,-0.0030070697132805377,0.00155304854597761,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
egresos_lag_2m,2022,-0.006055245966369897,0.0014160955869097433,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
cambio_ocupacion_2m,2022,-1.77453061644961e-06,0.0009847603680893154,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
cambio_pacientes_camas_1m,2022,-0.00394112140853083,0.0010686830774233604,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
cambio_camas_disponibles_1m,2022,-0.002304676870195791,0.001103502020051851,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
aceleracion_ocupacion,2022,-0.005471109614404668,0.0025913700677637473,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
max_ocupacion_3m,2022,-0.0029471452316956657,0.0045461407638528835,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
min_ocupacion_3m,2022,-0.0025903648047920225,0.0034879392919957087,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
desviacion_ocupacion_3m,2022,-0.0021794612623174947,0.001308226254776377,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
promedio_ocupacion_6m,2022,-0.009054431912696281,0.005975289300566835,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
